"","Street_name","Planning_Area","number_of_bus_stops","dist_to_nearest_bus_stop","inversed_dist_to_nearest_bus_stop","BusStopCode"
"140","TAMPINES STREET 32","TAMPINES",6,63.5666113053903,0.0157315291701762,"76411"
"141","TAN QUEE LAN STREET","DOWNTOWN CORE",10,81.6809652009817,0.0122427544476174,"01541"
"142","TANGLIN ROAD","TANGLIN",3,77.6772786095888,0.0128737774790755,"10321"
"143","TANJONG KATONG ROAD","GEYLANG",4,47.7782067083738,0.0209300446562122,"82089"
"144","TELOK AYER STREET","OUTRAM",3,146.835235648918,0.00681035444646946,"03041"
"145","TELOK KURAU ROAD","BEDOK",4,45.1302904801819,0.0221580669958047,"83121"
"146","TEMASEK BOULEVARD","DOWNTOWN CORE",5,43.8708186466833,0.0227941951130106,"02159"
"147","TESSENSOHN ROAD","KALLANG",3,197.05369912486,0.00507475883193831,"07221"
"148","THOMSON ROAD","NOVENA",4,130.896306154698,0.00763963498571277,"50029"
"149","TIONG BAHRU ROAD","BUKIT MERAH",6,13.6133999316096,0.0734570353492704,"06051"
"150","TRAS STREET","DOWNTOWN CORE",6,74.3486663281163,0.0134501403910433,"05419"
"151","UNITY STREET","SINGAPORE RIVER",4,113.541827130998,0.00880732700246451,"04321"
"152","UPPER BUKIT TIMAH ROAD","BUKIT PANJANG",6,49.0552495899856,0.0203851781075057,"44019"
"153","UPPER CIRCULAR ROAD","SINGAPORE RIVER",8,55.9675913635403,0.0178674832280069,"04239"
"154","UPPER CROSS STREET","OUTRAM",5,40.6687532160158,0.0245889023125054,"06171"
"155","UPPER SERANGOON ROAD","HOUGANG",4,94.4109793859542,0.010591988416008,"63041"
"156","UPPER THOMSON ROAD","BISHAN",2,67.3940137995317,0.0148381131145352,"53069"
"157","VICTORIA STREET","ROCHOR",7,42.4925550637915,0.0235335342508531,"01059"
"158","WEST COAST DRIVE","CLEMENTI",3,171.139940509319,0.00584317136621622,"20011"
"159","WEST COAST ROAD","CLEMENTI",4,111.10338340273,0.00900062598791592,"17071"
"160","WILKIE ROAD","NEWTON",0,312.574943610096,0.00319923276143143,"40011"
"161","WOODLANDS AVENUE 1","WOODLANDS",4,72.7974755090855,0.0137367400862025,"46351"
"162","WOODLANDS ROAD","BUKIT PANJANG",0,255.355821672165,0.0039161041775027,"44959"
"163","WOODLANDS SQUARE","WOODLANDS",5,115.833051722731,0.00863311451375462,"47009"
"164","YIO CHU KANG ROAD","HOUGANG",3,50.7028150804036,0.019722770785295,"63189"
"165","YISHUN AVENUE 2","YISHUN",3,66.3708674601695,0.0150668514405077,"59041"
"166","YISHUN AVENUE 9","YISHUN",3,65.8695261456436,0.0151815271570181,"59179"
"167","YISHUN CENTRAL 1","YISHUN",7,130.835741009957,0.00764317144750145,"59008"
"168","YISHUN RING ROAD","YISHUN",5,73.9907452112958,0.0135152037885859,"59139"
