,Street_name,Planning_area,Time_taken_drive
558,JOO CHIAT ROAD,Central Water Catchment,2044
559,JOO KOON CIRCLE,Central Water Catchment,2666
560,JURONG EAST STREET 21,Central Water Catchment,2424
561,JURONG GATEWAY ROAD,Central Water Catchment,2539
562,JURONG WEST CENTRAL 2,Central Water Catchment,2454
563,JURONG WEST CENTRAL 3,Central Water Catchment,2485
564,KALLANG AVENUE,Central Water Catchment,1827
565,KELANTAN LANE,Central Water Catchment,1853
566,KEPPEL ROAD,Central Water Catchment,2186
567,KITCHENER ROAD,Central Water Catchment,1809
568,KOEK ROAD,Central Water Catchment,1859
569,LAVENDER STREET,Central Water Catchment,1736
570,LORONG 22 GEYLANG,Central Water Catchment,1930
571,LORONG 4 TOA PAYOH,Central Water Catchment,1764
572,LORONG KILAT,Central Water Catchment,2121
573,LORONG LIPUT,Central Water Catchment,2157
574,MACPHERSON ROAD,Central Water Catchment,1670
575,MAJU AVENUE,Central Water Catchment,1709
576,MARINA BOULEVARD,Central Water Catchment,2182
577,MARINA VIEW,Central Water Catchment,2169
578,MARINE PARADE ROAD,Central Water Catchment,2314
579,MARITIME SQUARE,Central Water Catchment,2387
580,MARKET STREET,Central Water Catchment,2386
581,MARNE ROAD,Central Water Catchment,1828
582,MERCHANT ROAD,Central Water Catchment,2120
583,MIDDLE ROAD,Central Water Catchment,1953
584,MOHAMED SULTAN ROAD,Central Water Catchment,2057
585,MOUNTBATTEN ROAD,Central Water Catchment,2149
586,NEW BRIDGE ROAD,Central Water Catchment,2028
587,NEW UPPER CHANGI ROAD,Central Water Catchment,2496
588,NORTH BRIDGE ROAD,Central Water Catchment,1904
589,NORTH BUONA VISTA DRIVE,Central Water Catchment,2311
590,NORTHPOINT DRIVE,Central Water Catchment,1351
591,OCEAN WAY,Central Water Catchment,2931
592,ORCHARD ROAD,Central Water Catchment,1900
593,ORCHARD TURN,Central Water Catchment,1981
594,OUTRAM ROAD,Central Water Catchment,2008
595,PASIR PANJANG ROAD,Central Water Catchment,2649
596,PASIR RIS CENTRAL,Central Water Catchment,2063
597,PASIR RIS CLOSE,Central Water Catchment,1975
598,PAYA LEBAR ROAD,Central Water Catchment,1912
599,PENANG ROAD,Central Water Catchment,1896
600,PETIR ROAD,Central Water Catchment,1745
601,PUNGGOL CENTRAL,Central Water Catchment,1613
602,QUEENSWAY,Central Water Catchment,2372
603,RACE COURSE ROAD,Central Water Catchment,1790
604,RAFFLES AVENUE,Central Water Catchment,2182
605,RAFFLES BOULEVARD,Central Water Catchment,2074
606,RAFFLES LINK,Central Water Catchment,2192
607,RAFFLES PLACE,Central Water Catchment,2104
608,RAFFLES QUAY,Central Water Catchment,2219
609,RANGOON ROAD,Central Water Catchment,1883
610,RIVER VALLEY ROAD,Central Water Catchment,2074
611,RIVERVALE CRESCENT,Central Water Catchment,1561
612,ROBERTSON QUAY,Central Water Catchment,2130
613,ROBINSON ROAD,Central Water Catchment,2178
614,ROCHOR CANAL ROAD,Central Water Catchment,1901
615,ROCHOR ROAD,Central Water Catchment,1968
616,SAM LEONG ROAD,Central Water Catchment,1825
617,SCOTTS ROAD,Central Water Catchment,1891
618,SELEGIE ROAD,Central Water Catchment,1967
619,SEMBAWANG DRIVE,Central Water Catchment,1591
620,SEMBAWANG ROAD,Central Water Catchment,1165
621,SENGKANG SQUARE,Central Water Catchment,1439
622,SENGKANG WEST AVENUE,Central Water Catchment,1410
623,SERANGOON CENTRAL,Central Water Catchment,1609
624,SERANGOON ROAD,Central Water Catchment,1696
625,SHENTON WAY,Central Water Catchment,2180
626,SIMS AVENUE,Central Water Catchment,1978
627,SIMS DRIVE,Central Water Catchment,1912
628,SIN MING ROAD,Central Water Catchment,1379
629,SINARAN DRIVE,Central Water Catchment,1807
630,SOMERSET ROAD,Central Water Catchment,1908
631,SOUTH BRIDGE ROAD,Central Water Catchment,2027
632,SOUTH BUONA VISTA ROAD,Central Water Catchment,2521
633,STADIUM WALK,Central Water Catchment,2158
634,STAMFORD ROAD,Central Water Catchment,2003
635,TAI SENG STREET,Central Water Catchment,1913
636,TAI THONG CRESCENT,Central Water Catchment,1663
637,TAMPINES CENTRAL 1,Central Water Catchment,2059
638,TAMPINES CENTRAL 5,Central Water Catchment,2065
639,TAMPINES STREET 32,Central Water Catchment,2093
640,TAN QUEE LAN STREET,Central Water Catchment,2053
641,TANGLIN ROAD,Central Water Catchment,2267
642,TANJONG KATONG ROAD,Central Water Catchment,1996
643,TELOK AYER STREET,Central Water Catchment,2103
644,TELOK KURAU ROAD,Central Water Catchment,2201
645,TEMASEK BOULEVARD,Central Water Catchment,2075
646,TESSENSOHN ROAD,Central Water Catchment,1813
647,THOMSON ROAD,Central Water Catchment,1834
648,TIONG BAHRU ROAD,Central Water Catchment,2005
649,TRAS STREET,Central Water Catchment,2205
650,UNITY STREET,Central Water Catchment,2034
651,UPPER BUKIT TIMAH ROAD,Central Water Catchment,1857
652,UPPER CIRCULAR ROAD,Central Water Catchment,2063
653,UPPER CROSS STREET,Central Water Catchment,2035
654,UPPER SERANGOON ROAD,Central Water Catchment,1763
655,UPPER THOMSON ROAD,Central Water Catchment,1239
656,VICTORIA STREET,Central Water Catchment,1949
657,WEST COAST DRIVE,Central Water Catchment,2625
658,WEST COAST ROAD,Central Water Catchment,2584
659,WILKIE ROAD,Central Water Catchment,2022
660,WOODLANDS AVENUE 1,Central Water Catchment,1256
661,WOODLANDS ROAD,Central Water Catchment,1683
662,WOODLANDS SQUARE,Central Water Catchment,1392
663,YIO CHU KANG ROAD,Central Water Catchment,1629
664,YISHUN AVENUE 2,Central Water Catchment,1285
665,YISHUN AVENUE 9,Central Water Catchment,1353
666,YISHUN CENTRAL 1,Central Water Catchment,1328
667,YISHUN RING ROAD,Central Water Catchment,1320
668,ALBERT STREET,Downtown Core,302
669,ALEXANDRA ROAD,Downtown Core,587
670,ANG MO KIO AVENUE 3,Downtown Core,969
671,ANSON ROAD,Downtown Core,223
672,BALESTIER ROAD,Downtown Core,576
673,BATTERY ROAD,Downtown Core,217
674,BAYFRONT AVENUE,Downtown Core,213
675,BEACH ROAD,Downtown Core,250
676,BEDOK NORTH STREET 1,Downtown Core,1203
677,BEDOK ROAD,Downtown Core,1320
678,BENCOOLEN STREET,Downtown Core,247
679,BIDADARI PARK DRIVE,Downtown Core,835
680,BRAS BASAH ROAD,Downtown Core,201
681,BROOKE ROAD,Downtown Core,846
682,BUKIT TIMAH ROAD,Downtown Core,1713
683,CAVAN ROAD,Downtown Core,442
684,CECIL STREET,Downtown Core,170
685,CENTRAL BOULEVARD,Downtown Core,207
686,CHANGI BUSINESS PARK CENTRAL 1,Downtown Core,1536
687,CHANGI ROAD,Downtown Core,888
688,CHIN SWEE ROAD,Downtown Core,240
689,CHOA CHU KANG AVENUE 4,Downtown Core,1908
690,CHOA CHU KANG NORTH 6,Downtown Core,1911
691,CLAYMORE DRIVE,Downtown Core,623
692,CLEMENCEAU AVENUE,Downtown Core,270
693,CLEMENTI AVENUE 3,Downtown Core,1199
694,COLEMAN STREET,Downtown Core,238
695,COLLYER QUAY,Downtown Core,196
696,COMMONWEALTH AVENUE WEST,Downtown Core,1092
697,COMPASSVALE BOW,Downtown Core,1448
698,CROSS STREET,Downtown Core,126
699,CUSCADEN ROAD,Downtown Core,542
700,EAST COAST ROAD,Downtown Core,950
701,EASTWOOD ROAD,Downtown Core,1242
702,ENG HOON STREET,Downtown Core,397
703,ENGGOR STREET,Downtown Core,230
704,EU TONG SEN STREET,Downtown Core,254
705,FOCH ROAD,Downtown Core,473
706,GEYLANG ROAD,Downtown Core,681
707,GOLDHILL PLAZA,Downtown Core,531
708,GOPENG STREET,Downtown Core,260
709,GUILLEMARD ROAD,Downtown Core,653
710,HANDY ROAD,Downtown Core,227
711,HAVELOCK ROAD,Downtown Core,504
712,HIGH STREET,Downtown Core,215
713,HOLLAND AVENUE,Downtown Core,987
714,HOUGANG AVENUE 10,Downtown Core,1339
715,HOUGANG STREET 51,Downtown Core,1418
716,HOUGANG STREET 91,Downtown Core,1335
717,IRRAWADDY ROAD,Downtown Core,638
718,JALAN ANAK BUKIT,Downtown Core,1329
719,JALAN BESAR,Downtown Core,421
720,JALAN JURONG KECHIL,Downtown Core,1284
721,JALAN LEGUNDI,Downtown Core,2062
722,JALAN MASJID,Downtown Core,961
723,JALAN SULTAN,Downtown Core,292
724,JELEBU ROAD,Downtown Core,1577
725,JOO CHIAT ROAD,Downtown Core,830
726,JOO KOON CIRCLE,Downtown Core,1795
727,JURONG EAST STREET 21,Downtown Core,1422
728,JURONG GATEWAY ROAD,Downtown Core,1419
729,JURONG WEST CENTRAL 2,Downtown Core,1729
730,JURONG WEST CENTRAL 3,Downtown Core,1760
731,KALLANG AVENUE,Downtown Core,449
732,KELANTAN LANE,Downtown Core,413
733,KEPPEL ROAD,Downtown Core,312
734,KITCHENER ROAD,Downtown Core,420
735,KOEK ROAD,Downtown Core,331
736,LAVENDER STREET,Downtown Core,447
737,LORONG 22 GEYLANG,Downtown Core,537
738,LORONG 4 TOA PAYOH,Downtown Core,944
739,LORONG KILAT,Downtown Core,1366
740,LORONG LIPUT,Downtown Core,978
741,MACPHERSON ROAD,Downtown Core,723
742,MAJU AVENUE,Downtown Core,1190
743,MARINA BOULEVARD,Downtown Core,267
744,MARINA VIEW,Downtown Core,146
745,MARINE PARADE ROAD,Downtown Core,853
746,MARITIME SQUARE,Downtown Core,577
747,MARKET STREET,Downtown Core,1308
748,MARNE ROAD,Downtown Core,516
749,MERCHANT ROAD,Downtown Core,499
750,MIDDLE ROAD,Downtown Core,257
751,MOHAMED SULTAN ROAD,Downtown Core,355
752,MOUNTBATTEN ROAD,Downtown Core,725
753,NEW BRIDGE ROAD,Downtown Core,205
754,NEW UPPER CHANGI ROAD,Downtown Core,1341
755,NORTH BRIDGE ROAD,Downtown Core,330
756,NORTH BUONA VISTA DRIVE,Downtown Core,986
757,NORTHPOINT DRIVE,Downtown Core,1903
758,OCEAN WAY,Downtown Core,1121
759,ORCHARD ROAD,Downtown Core,443
760,ORCHARD TURN,Downtown Core,426
761,OUTRAM ROAD,Downtown Core,311
762,PASIR PANJANG ROAD,Downtown Core,1049
763,PASIR RIS CENTRAL,Downtown Core,1677
764,PASIR RIS CLOSE,Downtown Core,1729
765,PAYA LEBAR ROAD,Downtown Core,736
766,PENANG ROAD,Downtown Core,249
767,PETIR ROAD,Downtown Core,1488
768,PUNGGOL CENTRAL,Downtown Core,1748
769,QUEENSWAY,Downtown Core,1054
770,RACE COURSE ROAD,Downtown Core,512
771,RAFFLES AVENUE,Downtown Core,267
772,RAFFLES BOULEVARD,Downtown Core,150
773,RAFFLES LINK,Downtown Core,286
774,RAFFLES PLACE,Downtown Core,148
775,RAFFLES QUAY,Downtown Core,196
776,RANGOON ROAD,Downtown Core,476
777,RIVER VALLEY ROAD,Downtown Core,457
778,RIVERVALE CRESCENT,Downtown Core,1618
779,ROBERTSON QUAY,Downtown Core,399
780,ROBINSON ROAD,Downtown Core,155
781,ROCHOR CANAL ROAD,Downtown Core,289
782,ROCHOR ROAD,Downtown Core,253
783,SAM LEONG ROAD,Downtown Core,423
784,SCOTTS ROAD,Downtown Core,531
785,SELEGIE ROAD,Downtown Core,268
786,SEMBAWANG DRIVE,Downtown Core,2273
787,SEMBAWANG ROAD,Downtown Core,1887
788,SENGKANG SQUARE,Downtown Core,1575
789,SENGKANG WEST AVENUE,Downtown Core,1352
790,SERANGOON CENTRAL,Downtown Core,1068
791,SERANGOON ROAD,Downtown Core,703
792,SHENTON WAY,Downtown Core,156
793,SIMS AVENUE,Downtown Core,644
794,SIMS DRIVE,Downtown Core,631
795,SIN MING ROAD,Downtown Core,1088
796,SINARAN DRIVE,Downtown Core,589
797,SOMERSET ROAD,Downtown Core,320
798,SOUTH BRIDGE ROAD,Downtown Core,263
799,SOUTH BUONA VISTA ROAD,Downtown Core,947
800,STADIUM WALK,Downtown Core,734
801,STAMFORD ROAD,Downtown Core,159
802,TAI SENG STREET,Downtown Core,956
803,TAI THONG CRESCENT,Downtown Core,715
804,TAMPINES CENTRAL 1,Downtown Core,1491
805,TAMPINES CENTRAL 5,Downtown Core,1400
806,TAMPINES STREET 32,Downtown Core,1353
807,TAN QUEE LAN STREET,Downtown Core,200
808,TANGLIN ROAD,Downtown Core,631
809,TANJONG KATONG ROAD,Downtown Core,710
810,TELOK AYER STREET,Downtown Core,155
811,TELOK KURAU ROAD,Downtown Core,914
812,TEMASEK BOULEVARD,Downtown Core,151
813,TESSENSOHN ROAD,Downtown Core,489
814,THOMSON ROAD,Downtown Core,480
815,TIONG BAHRU ROAD,Downtown Core,383
816,TRAS STREET,Downtown Core,251
817,UNITY STREET,Downtown Core,327
818,UPPER BUKIT TIMAH ROAD,Downtown Core,1599
819,UPPER CIRCULAR ROAD,Downtown Core,226
820,UPPER CROSS STREET,Downtown Core,211
821,UPPER SERANGOON ROAD,Downtown Core,1197
822,UPPER THOMSON ROAD,Downtown Core,1130
823,VICTORIA STREET,Downtown Core,233
824,WEST COAST DRIVE,Downtown Core,1164
825,WEST COAST ROAD,Downtown Core,1083
826,WILKIE ROAD,Downtown Core,418
827,WOODLANDS AVENUE 1,Downtown Core,1912
828,WOODLANDS ROAD,Downtown Core,1674
829,WOODLANDS SQUARE,Downtown Core,2049
830,YIO CHU KANG ROAD,Downtown Core,1110
831,YISHUN AVENUE 2,Downtown Core,1807
832,YISHUN AVENUE 9,Downtown Core,1918
833,YISHUN CENTRAL 1,Downtown Core,1876
834,YISHUN RING ROAD,Downtown Core,2028
835,ALBERT STREET,Changi,3188
836,ALEXANDRA ROAD,Changi,3561
837,ANG MO KIO AVENUE 3,Changi,3053
838,ANSON ROAD,Changi,3363
839,BALESTIER ROAD,Changi,2994
840,BATTERY ROAD,Changi,3431
841,BAYFRONT AVENUE,Changi,3150
842,BEACH ROAD,Changi,3126
843,BEDOK NORTH STREET 1,Changi,2453
844,BEDOK ROAD,Changi,2283
845,BENCOOLEN STREET,Changi,3118
846,BIDADARI PARK DRIVE,Changi,2941
847,BRAS BASAH ROAD,Changi,3204
848,BROOKE ROAD,Changi,2781
849,BUKIT TIMAH ROAD,Changi,3927
850,CAVAN ROAD,Changi,2943
851,CECIL STREET,Changi,3361
852,CENTRAL BOULEVARD,Changi,3180
853,CHANGI BUSINESS PARK CENTRAL 1,Changi,2209
854,CHANGI ROAD,Changi,2559
855,CHIN SWEE ROAD,Changi,3328
856,CHOA CHU KANG AVENUE 4,Changi,4092
857,CHOA CHU KANG NORTH 6,Changi,4064
858,CLAYMORE DRIVE,Changi,3315
859,CLEMENCEAU AVENUE,Changi,3182
860,CLEMENTI AVENUE 3,Changi,3944
861,COLEMAN STREET,Changi,3295
862,COLLYER QUAY,Changi,3409
863,COMMONWEALTH AVENUE WEST,Changi,3912
864,COMPASSVALE BOW,Changi,2633
865,CROSS STREET,Changi,3339
866,CUSCADEN ROAD,Changi,3351
867,EAST COAST ROAD,Changi,2694
868,EASTWOOD ROAD,Changi,2367
869,ENG HOON STREET,Changi,3284
870,ENGGOR STREET,Changi,3369
871,EU TONG SEN STREET,Changi,3337
872,FOCH ROAD,Changi,2926
873,GEYLANG ROAD,Changi,2688
874,GOLDHILL PLAZA,Changi,3083
875,GOPENG STREET,Changi,3400
876,GUILLEMARD ROAD,Changi,2811
877,HANDY ROAD,Changi,3172
878,HAVELOCK ROAD,Changi,3460
879,HIGH STREET,Changi,3237
880,HOLLAND AVENUE,Changi,3616
881,HOUGANG AVENUE 10,Changi,2719
882,HOUGANG STREET 51,Changi,2653
883,HOUGANG STREET 91,Changi,2756
884,IRRAWADDY ROAD,Changi,3080
885,JALAN ANAK BUKIT,Changi,3570
886,JALAN BESAR,Changi,3015
887,JALAN JURONG KECHIL,Changi,3526
888,JALAN LEGUNDI,Changi,3595
889,JALAN MASJID,Changi,2637
890,JALAN SULTAN,Changi,3023
891,JELEBU ROAD,Changi,3819
892,JOO CHIAT ROAD,Changi,2693
893,JOO KOON CIRCLE,Changi,4633
894,JURONG EAST STREET 21,Changi,3911
895,JURONG GATEWAY ROAD,Changi,4026
896,JURONG WEST CENTRAL 2,Changi,4269
897,JURONG WEST CENTRAL 3,Changi,4299
898,KALLANG AVENUE,Changi,2913
899,KELANTAN LANE,Changi,3036
900,KEPPEL ROAD,Changi,3410
901,KITCHENER ROAD,Changi,2991
902,KOEK ROAD,Changi,3124
903,LAVENDER STREET,Changi,2900
904,LORONG 22 GEYLANG,Changi,2803
905,LORONG 4 TOA PAYOH,Changi,2989
906,LORONG KILAT,Changi,3608
907,LORONG LIPUT,Changi,3607
908,MACPHERSON ROAD,Changi,2826
909,MAJU AVENUE,Changi,3092
910,MARINA BOULEVARD,Changi,3185
911,MARINA VIEW,Changi,3303
912,MARINE PARADE ROAD,Changi,2753
913,MARITIME SQUARE,Changi,3585
914,MARKET STREET,Changi,2461
915,MARNE ROAD,Changi,3010
916,MERCHANT ROAD,Changi,3385
917,MIDDLE ROAD,Changi,3135
918,MOHAMED SULTAN ROAD,Changi,3322
919,MOUNTBATTEN ROAD,Changi,3068
920,NEW BRIDGE ROAD,Changi,3293
921,NEW UPPER CHANGI ROAD,Changi,2448
922,NORTH BRIDGE ROAD,Changi,3030
923,NORTH BUONA VISTA DRIVE,Changi,3762
924,NORTHPOINT DRIVE,Changi,3435
925,OCEAN WAY,Changi,4129
926,ORCHARD ROAD,Changi,3164
927,ORCHARD TURN,Changi,3245
928,OUTRAM ROAD,Changi,3272
929,PASIR PANJANG ROAD,Changi,3914
930,PASIR RIS CENTRAL,Changi,1861
931,PASIR RIS CLOSE,Changi,1809
932,PAYA LEBAR ROAD,Changi,3158
933,PENANG ROAD,Changi,3161
934,PETIR ROAD,Changi,3730
935,PUNGGOL CENTRAL,Changi,2505
936,QUEENSWAY,Changi,3823
937,RACE COURSE ROAD,Changi,2979
938,RAFFLES AVENUE,Changi,3185
939,RAFFLES BOULEVARD,Changi,3198
940,RAFFLES LINK,Changi,3297
941,RAFFLES PLACE,Changi,3361
942,RAFFLES QUAY,Changi,3319
943,RANGOON ROAD,Changi,3072
944,RIVER VALLEY ROAD,Changi,3339
945,RIVERVALE CRESCENT,Changi,2456
946,ROBERTSON QUAY,Changi,3394
947,ROBINSON ROAD,Changi,3355
948,ROCHOR CANAL ROAD,Changi,3088
949,ROCHOR ROAD,Changi,3094
950,SAM LEONG ROAD,Changi,3008
951,SCOTTS ROAD,Changi,3155
952,SELEGIE ROAD,Changi,3152
953,SEMBAWANG DRIVE,Changi,3805
954,SEMBAWANG ROAD,Changi,3419
955,SENGKANG SQUARE,Changi,2506
956,SENGKANG WEST AVENUE,Changi,2737
957,SERANGOON CENTRAL,Changi,2936
958,SERANGOON ROAD,Changi,2812
959,SHENTON WAY,Changi,3334
960,SIMS AVENUE,Changi,2802
961,SIMS DRIVE,Changi,2807
962,SIN MING ROAD,Changi,3414
963,SINARAN DRIVE,Changi,3072
964,SOMERSET ROAD,Changi,3172
965,SOUTH BRIDGE ROAD,Changi,3291
966,SOUTH BUONA VISTA ROAD,Changi,3785
967,STADIUM WALK,Changi,3111
968,STAMFORD ROAD,Changi,3182
969,TAI SENG STREET,Changi,2723
970,TAI THONG CRESCENT,Changi,2818
971,TAMPINES CENTRAL 1,Changi,2088
972,TAMPINES CENTRAL 5,Changi,2053
973,TAMPINES STREET 32,Changi,1924
974,TAN QUEE LAN STREET,Changi,3179
975,TANGLIN ROAD,Changi,3532
976,TANJONG KATONG ROAD,Changi,2722
977,TELOK AYER STREET,Changi,3368
978,TELOK KURAU ROAD,Changi,2705
979,TEMASEK BOULEVARD,Changi,3198
980,TESSENSOHN ROAD,Changi,3003
981,THOMSON ROAD,Changi,3098
982,TIONG BAHRU ROAD,Changi,3269
983,TRAS STREET,Changi,3390
984,UNITY STREET,Changi,3298
985,UPPER BUKIT TIMAH ROAD,Changi,3841
986,UPPER CIRCULAR ROAD,Changi,3249
987,UPPER CROSS STREET,Changi,3299
988,UPPER SERANGOON ROAD,Changi,2652
989,UPPER THOMSON ROAD,Changi,3456
990,VICTORIA STREET,Changi,3075
991,WEST COAST DRIVE,Changi,4002
992,WEST COAST ROAD,Changi,3921
993,WILKIE ROAD,Changi,3261
994,WOODLANDS AVENUE 1,Changi,3444
995,WOODLANDS ROAD,Changi,3871
996,WOODLANDS SQUARE,Changi,3581
997,YIO CHU KANG ROAD,Changi,2920
998,YISHUN AVENUE 2,Changi,3339
999,YISHUN AVENUE 9,Changi,3450
1000,YISHUN CENTRAL 1,Changi,3409
1001,YISHUN RING ROAD,Changi,3560
1002,ALBERT STREET,Changi Bay,2112
1003,ALEXANDRA ROAD,Changi Bay,2546
1004,ANG MO KIO AVENUE 3,Changi Bay,2432
1005,ANSON ROAD,Changi Bay,2144
1006,BALESTIER ROAD,Changi Bay,2232
1007,BATTERY ROAD,Changi Bay,2212
1008,BAYFRONT AVENUE,Changi Bay,1932
1009,BEACH ROAD,Changi Bay,1937
1010,BEDOK NORTH STREET 1,Changi Bay,1553
1011,BEDOK ROAD,Changi Bay,1295
1012,BENCOOLEN STREET,Changi Bay,2049
1013,BIDADARI PARK DRIVE,Changi Bay,2179
1014,BRAS BASAH ROAD,Changi Bay,2102
1015,BROOKE ROAD,Changi Bay,1685
1016,BUKIT TIMAH ROAD,Changi Bay,3193
1017,CAVAN ROAD,Changi Bay,2129
1018,CECIL STREET,Changi Bay,2142
1019,CENTRAL BOULEVARD,Changi Bay,1961
1020,CHANGI BUSINESS PARK CENTRAL 1,Changi Bay,1276
1021,CHANGI ROAD,Changi Bay,1795
1022,CHIN SWEE ROAD,Changi Bay,2235
1023,CHOA CHU KANG AVENUE 4,Changi Bay,3388
1024,CHOA CHU KANG NORTH 6,Changi Bay,3391
1025,CLAYMORE DRIVE,Changi Bay,2467
1026,CLEMENCEAU AVENUE,Changi Bay,2193
1027,CLEMENTI AVENUE 3,Changi Bay,2948
1028,COLEMAN STREET,Changi Bay,2161
1029,COLLYER QUAY,Changi Bay,2191
1030,COMMONWEALTH AVENUE WEST,Changi Bay,2841
1031,COMPASSVALE BOW,Changi Bay,2201
1032,CROSS STREET,Changi Bay,2121
1033,CUSCADEN ROAD,Changi Bay,2465
1034,EAST COAST ROAD,Changi Bay,1498
1035,EASTWOOD ROAD,Changi Bay,1380
1036,ENG HOON STREET,Changi Bay,2367
1037,ENGGOR STREET,Changi Bay,2151
1038,EU TONG SEN STREET,Changi Bay,2249
1039,FOCH ROAD,Changi Bay,2161
1040,GEYLANG ROAD,Changi Bay,1927
1041,GOLDHILL PLAZA,Changi Bay,2277
1042,GOPENG STREET,Changi Bay,2181
1043,GUILLEMARD ROAD,Changi Bay,2049
1044,HANDY ROAD,Changi Bay,2129
1045,HAVELOCK ROAD,Changi Bay,2499
1046,HIGH STREET,Changi Bay,2136
1047,HOLLAND AVENUE,Changi Bay,2852
1048,HOUGANG AVENUE 10,Changi Bay,2287
1049,HOUGANG STREET 51,Changi Bay,2221
1050,HOUGANG STREET 91,Changi Bay,2324
1051,IRRAWADDY ROAD,Changi Bay,2318
1052,JALAN ANAK BUKIT,Changi Bay,2809
1053,JALAN BESAR,Changi Bay,2156
1054,JALAN JURONG KECHIL,Changi Bay,2765
1055,JALAN LEGUNDI,Changi Bay,3163
1056,JALAN MASJID,Changi Bay,1762
1057,JALAN SULTAN,Changi Bay,2030
1058,JELEBU ROAD,Changi Bay,3057
1059,JOO CHIAT ROAD,Changi Bay,1886
1060,JOO KOON CIRCLE,Changi Bay,3544
1061,JURONG EAST STREET 21,Changi Bay,3149
1062,JURONG GATEWAY ROAD,Changi Bay,3168
1063,JURONG WEST CENTRAL 2,Changi Bay,3479
1064,JURONG WEST CENTRAL 3,Changi Bay,3509
1065,KALLANG AVENUE,Changi Bay,2072
1066,KELANTAN LANE,Changi Bay,2147
1067,KEPPEL ROAD,Changi Bay,2191
1068,KITCHENER ROAD,Changi Bay,2155
1069,KOEK ROAD,Changi Bay,2254
1070,LAVENDER STREET,Changi Bay,2135
1071,LORONG 22 GEYLANG,Changi Bay,1955
1072,LORONG 4 TOA PAYOH,Changi Bay,2228
1073,LORONG KILAT,Changi Bay,2846
1074,LORONG LIPUT,Changi Bay,2846
1075,MACPHERSON ROAD,Changi Bay,2065
1076,MAJU AVENUE,Changi Bay,2554
1077,MARINA BOULEVARD,Changi Bay,1967
1078,MARINA VIEW,Changi Bay,2085
1079,MARINE PARADE ROAD,Changi Bay,1535
1080,MARITIME SQUARE,Changi Bay,2367
1081,MARKET STREET,Changi Bay,1604
1082,MARNE ROAD,Changi Bay,2249
1083,MERCHANT ROAD,Changi Bay,2469
1084,MIDDLE ROAD,Changi Bay,2059
1085,MOHAMED SULTAN ROAD,Changi Bay,2278
1086,MOUNTBATTEN ROAD,Changi Bay,1850
1087,NEW BRIDGE ROAD,Changi Bay,2200
1088,NEW UPPER CHANGI ROAD,Changi Bay,1461
1089,NORTH BRIDGE ROAD,Changi Bay,2068
1090,NORTH BUONA VISTA DRIVE,Changi Bay,2779
1091,NORTHPOINT DRIVE,Changi Bay,3003
1092,OCEAN WAY,Changi Bay,2911
1093,ORCHARD ROAD,Changi Bay,2366
1094,ORCHARD TURN,Changi Bay,2349
1095,OUTRAM ROAD,Changi Bay,2279
1096,PASIR PANJANG ROAD,Changi Bay,2825
1097,PASIR RIS CENTRAL,Changi Bay,1621
1098,PASIR RIS CLOSE,Changi Bay,1673
1099,PAYA LEBAR ROAD,Changi Bay,2108
1100,PENANG ROAD,Changi Bay,2172
1101,PETIR ROAD,Changi Bay,2968
1102,PUNGGOL CENTRAL,Changi Bay,2073
1103,QUEENSWAY,Changi Bay,2902
1104,RACE COURSE ROAD,Changi Bay,2215
1105,RAFFLES AVENUE,Changi Bay,1967
1106,RAFFLES BOULEVARD,Changi Bay,1979
1107,RAFFLES LINK,Changi Bay,2079
1108,RAFFLES PLACE,Changi Bay,2143
1109,RAFFLES QUAY,Changi Bay,2101
1110,RANGOON ROAD,Changi Bay,2227
1111,RIVER VALLEY ROAD,Changi Bay,2399
1112,RIVERVALE CRESCENT,Changi Bay,2024
1113,ROBERTSON QUAY,Changi Bay,2350
1114,ROBINSON ROAD,Changi Bay,2136
1115,ROCHOR CANAL ROAD,Changi Bay,2021
1116,ROCHOR ROAD,Changi Bay,1985
1117,SAM LEONG ROAD,Changi Bay,2157
1118,SCOTTS ROAD,Changi Bay,2307
1119,SELEGIE ROAD,Changi Bay,2075
1120,SEMBAWANG DRIVE,Changi Bay,3373
1121,SEMBAWANG ROAD,Changi Bay,2987
1122,SENGKANG SQUARE,Changi Bay,2074
1123,SENGKANG WEST AVENUE,Changi Bay,2305
1124,SERANGOON CENTRAL,Changi Bay,2350
1125,SERANGOON ROAD,Changi Bay,2050
1126,SHENTON WAY,Changi Bay,2115
1127,SIMS AVENUE,Changi Bay,2040
1128,SIMS DRIVE,Changi Bay,2045
1129,SIN MING ROAD,Changi Bay,2653
1130,SINARAN DRIVE,Changi Bay,2310
1131,SOMERSET ROAD,Changi Bay,2243
1132,SOUTH BRIDGE ROAD,Changi Bay,2186
1133,SOUTH BUONA VISTA ROAD,Changi Bay,2696
1134,STADIUM WALK,Changi Bay,1949
1135,STAMFORD ROAD,Changi Bay,2080
1136,TAI SENG STREET,Changi Bay,2014
1137,TAI THONG CRESCENT,Changi Bay,2057
1138,TAMPINES CENTRAL 1,Changi Bay,1639
1139,TAMPINES CENTRAL 5,Changi Bay,1548
1140,TAMPINES STREET 32,Changi Bay,1535
1141,TAN QUEE LAN STREET,Changi Bay,2048
1142,TANGLIN ROAD,Changi Bay,2564
1143,TANJONG KATONG ROAD,Changi Bay,1811
1144,TELOK AYER STREET,Changi Bay,2150
