YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,PW2,11,28
2025-02,WEEKENDS/HOLIDAY,19,TRAIN,DT29,1949,3330
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,BP8,518,816
2025-02,WEEKDAY,15,TRAIN,EW25,9192,8714
2025-02,WEEKENDS/HOLIDAY,11,TRAIN,SW2,3617,2673
2025-02,WEEKDAY,0,TRAIN,TE14/NS22,441,553
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,PE6,248,1002
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,DT31,3925,1702
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,SW1,1005,621
2025-02,WEEKDAY,20,TRAIN,EW16/NE3/TE17,34040,18579
2025-02,WEEKDAY,13,TRAIN,CC8,9401,7537
2025-02,WEEKDAY,14,TRAIN,NS16,36539,36605
2025-02,WEEKDAY,23,TRAIN,DT17,4193,818
2025-02,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3239,2720
2025-02,WEEKDAY,20,TRAIN,TE23,1495,3239
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,DT17,2496,2268
2025-02,WEEKDAY,18,TRAIN,DT13,26409,20064
