,Street_name,Planning_area,Time_taken
245,MARITIME SQUARE,Yishun,3580
246,MARKET STREET,Yishun,4522
247,MARNE ROAD,Yishun,3145
248,MERCHANT ROAD,Yishun,3509
249,MIDDLE ROAD,Yishun,2928
250,MOHAMED SULTAN ROAD,Yishun,3452
251,MOUNTBATTEN ROAD,Yishun,3407
252,NEW BRIDGE ROAD,Yishun,3337
253,NEW UPPER CHANGI ROAD,Yishun,4723
254,NORTH BRIDGE ROAD,Yishun,3336
255,NORTH BUONA VISTA DRIVE,Yishun,2983
256,NORTHPOINT DRIVE,Yishun,1690
257,OCEAN WAY,Yishun,6324
258,ORCHARD ROAD,Yishun,2657
259,ORCHARD TURN,Yishun,2302
260,OUTRAM ROAD,Yishun,2908
261,PASIR PANJANG ROAD,Yishun,3543
262,PASIR RIS CENTRAL,Yishun,4103
263,PASIR RIS CLOSE,Yishun,3926
264,PAYA LEBAR ROAD,Yishun,2356
265,PENANG ROAD,Yishun,2538
266,PETIR ROAD,Yishun,3351
267,PUNGGOL CENTRAL,Yishun,2973
268,QUEENSWAY,Yishun,3631
269,RACE COURSE ROAD,Yishun,2888
270,RAFFLES AVENUE,Yishun,3232
271,RAFFLES BOULEVARD,Yishun,3103
272,RAFFLES LINK,Yishun,3370
273,RAFFLES PLACE,Yishun,2459
274,RAFFLES QUAY,Yishun,2779
275,RANGOON ROAD,Yishun,2815
276,RIVER VALLEY ROAD,Yishun,2938
277,RIVERVALE CRESCENT,Yishun,2949
278,ROBERTSON QUAY,Yishun,3480
279,ROBINSON ROAD,Yishun,3461
280,ROCHOR CANAL ROAD,Yishun,3208
281,ROCHOR ROAD,Yishun,3147
282,SAM LEONG ROAD,Yishun,3361
283,SCOTTS ROAD,Yishun,2352
284,SELEGIE ROAD,Yishun,2866
285,SEMBAWANG DRIVE,Yishun,2296
286,SEMBAWANG ROAD,Yishun,1166
287,SENGKANG SQUARE,Yishun,2707
288,SENGKANG WEST AVENUE,Yishun,2600
289,SERANGOON CENTRAL,Yishun,2621
290,SERANGOON ROAD,Yishun,2776
291,SHENTON WAY,Yishun,3045
292,SIMS AVENUE,Yishun,3346
293,SIMS DRIVE,Yishun,3547
294,SIN MING ROAD,Yishun,2789
295,SINARAN DRIVE,Yishun,2027
296,SOMERSET ROAD,Yishun,2256
297,SOUTH BRIDGE ROAD,Yishun,2977
298,SOUTH BUONA VISTA ROAD,Yishun,3711
299,STADIUM WALK,Yishun,3151
300,STAMFORD ROAD,Yishun,2711
301,TAI SENG STREET,Yishun,2616
302,TAI THONG CRESCENT,Yishun,2770
303,TAMPINES CENTRAL 1,Yishun,3946
304,TAMPINES CENTRAL 5,Yishun,3842
305,TAMPINES STREET 32,Yishun,4360
306,TAN QUEE LAN STREET,Yishun,3290
307,TANGLIN ROAD,Yishun,3616
308,TANJONG KATONG ROAD,Yishun,3223
309,TELOK AYER STREET,Yishun,3289
310,TELOK KURAU ROAD,Yishun,3685
311,TEMASEK BOULEVARD,Yishun,3256
312,TESSENSOHN ROAD,Yishun,3036
313,THOMSON ROAD,Yishun,2501
314,TIONG BAHRU ROAD,Yishun,3031
315,TRAS STREET,Yishun,3438
316,UNITY STREET,Yishun,3461
317,UPPER BUKIT TIMAH ROAD,Yishun,3289
318,UPPER CIRCULAR ROAD,Yishun,3124
