,Street_name,Planning_area,Time_taken
353,CHANGI ROAD,Bukit Batok,4036
354,CHIN SWEE ROAD,Bukit Batok,3401
355,CHOA CHU KANG AVENUE 4,Bukit Batok,1618
356,CHOA CHU KANG NORTH 6,Bukit Batok,1300
357,CLAYMORE DRIVE,Bukit Batok,2895
358,CLEMENCEAU AVENUE,Bukit Batok,3108
359,CLEMENTI AVENUE 3,Bukit Batok,1835
360,COLEMAN STREET,Bukit Batok,3197
361,COLLYER QUAY,Bukit Batok,3009
362,COMMONWEALTH AVENUE WEST,Bukit Batok,2010
363,COMPASSVALE BOW,Bukit Batok,3877
364,CROSS STREET,Bukit Batok,2856
365,CUSCADEN ROAD,Bukit Batok,2941
366,EAST COAST ROAD,Bukit Batok,5111
367,EASTWOOD ROAD,Bukit Batok,4920
368,ENG HOON STREET,Bukit Batok,3091
369,ENGGOR STREET,Bukit Batok,3121
370,EU TONG SEN STREET,Bukit Batok,2986
371,FOCH ROAD,Bukit Batok,3167
372,GEYLANG ROAD,Bukit Batok,3848
373,GOLDHILL PLAZA,Bukit Batok,3104
374,GOPENG STREET,Bukit Batok,2941
375,GUILLEMARD ROAD,Bukit Batok,3778
376,HANDY ROAD,Bukit Batok,3207
377,HAVELOCK ROAD,Bukit Batok,2975
378,HIGH STREET,Bukit Batok,3396
379,HOLLAND AVENUE,Bukit Batok,2409
380,HOUGANG AVENUE 10,Bukit Batok,5005
381,HOUGANG STREET 51,Bukit Batok,5203
382,HOUGANG STREET 91,Bukit Batok,4749
383,IRRAWADDY ROAD,Bukit Batok,2853
384,JALAN ANAK BUKIT,Bukit Batok,1498
385,JALAN BESAR,Bukit Batok,3605
386,JALAN JURONG KECHIL,Bukit Batok,1451
387,JALAN LEGUNDI,Bukit Batok,3201
388,JALAN MASJID,Bukit Batok,3792
389,JALAN SULTAN,Bukit Batok,3204
390,JELEBU ROAD,Bukit Batok,1903
391,JOO CHIAT ROAD,Bukit Batok,4157
392,JOO KOON CIRCLE,Bukit Batok,2972
393,JURONG EAST STREET 21,Bukit Batok,1637
394,JURONG GATEWAY ROAD,Bukit Batok,1357
395,JURONG WEST CENTRAL 2,Bukit Batok,1970
396,JURONG WEST CENTRAL 3,Bukit Batok,2076
397,KALLANG AVENUE,Bukit Batok,3761
398,KELANTAN LANE,Bukit Batok,3542
399,KEPPEL ROAD,Bukit Batok,3406
400,KITCHENER ROAD,Bukit Batok,3460
401,KOEK ROAD,Bukit Batok,2895
402,LAVENDER STREET,Bukit Batok,3053
403,LORONG 22 GEYLANG,Bukit Batok,3836
404,LORONG 4 TOA PAYOH,Bukit Batok,3648
405,LORONG KILAT,Bukit Batok,1358
406,LORONG LIPUT,Bukit Batok,2621
407,MACPHERSON ROAD,Bukit Batok,3674
408,MAJU AVENUE,Bukit Batok,4889
409,MARINA BOULEVARD,Bukit Batok,3267
410,MARINA VIEW,Bukit Batok,2889
411,MARINE PARADE ROAD,Bukit Batok,4514
412,MARITIME SQUARE,Bukit Batok,3452
413,MARKET STREET,Bukit Batok,4599
414,MARNE ROAD,Bukit Batok,2978
415,MERCHANT ROAD,Bukit Batok,3681
416,MIDDLE ROAD,Bukit Batok,3089
417,MOHAMED SULTAN ROAD,Bukit Batok,3549
418,MOUNTBATTEN ROAD,Bukit Batok,3598
419,NEW BRIDGE ROAD,Bukit Batok,3107
420,NEW UPPER CHANGI ROAD,Bukit Batok,4656
421,NORTH BRIDGE ROAD,Bukit Batok,3019
422,NORTH BUONA VISTA DRIVE,Bukit Batok,2288
423,NORTHPOINT DRIVE,Bukit Batok,3064
424,OCEAN WAY,Bukit Batok,6462
425,ORCHARD ROAD,Bukit Batok,2826
426,ORCHARD TURN,Bukit Batok,2726
427,OUTRAM ROAD,Bukit Batok,2609
428,PASIR PANJANG ROAD,Bukit Batok,3143
429,PASIR RIS CENTRAL,Bukit Batok,5422
430,PASIR RIS CLOSE,Bukit Batok,5404
431,PAYA LEBAR ROAD,Bukit Batok,3341
432,PENANG ROAD,Bukit Batok,2962
433,PETIR ROAD,Bukit Batok,1846
434,PUNGGOL CENTRAL,Bukit Batok,5079
435,QUEENSWAY,Bukit Batok,2925
436,RACE COURSE ROAD,Bukit Batok,3293
437,RAFFLES AVENUE,Bukit Batok,3054
438,RAFFLES BOULEVARD,Bukit Batok,2927
439,RAFFLES LINK,Bukit Batok,3062
440,RAFFLES PLACE,Bukit Batok,2785
441,RAFFLES QUAY,Bukit Batok,3061
442,RANGOON ROAD,Bukit Batok,3209
443,RIVER VALLEY ROAD,Bukit Batok,3082
444,RIVERVALE CRESCENT,Bukit Batok,5091
445,ROBERTSON QUAY,Bukit Batok,3543
446,ROBINSON ROAD,Bukit Batok,3194
447,ROCHOR CANAL ROAD,Bukit Batok,2728
448,ROCHOR ROAD,Bukit Batok,2794
449,SAM LEONG ROAD,Bukit Batok,3612
450,SCOTTS ROAD,Bukit Batok,2691
451,SELEGIE ROAD,Bukit Batok,3124
452,SEMBAWANG DRIVE,Bukit Batok,3246
453,SEMBAWANG ROAD,Bukit Batok,3342
454,SENGKANG SQUARE,Bukit Batok,4072
455,SENGKANG WEST AVENUE,Bukit Batok,5140
456,SERANGOON CENTRAL,Bukit Batok,3567
457,SERANGOON ROAD,Bukit Batok,3765
458,SHENTON WAY,Bukit Batok,2964
459,SIMS AVENUE,Bukit Batok,3429
460,SIMS DRIVE,Bukit Batok,3810
461,SIN MING ROAD,Bukit Batok,3713
462,SINARAN DRIVE,Bukit Batok,2840
463,SOMERSET ROAD,Bukit Batok,2680
464,SOUTH BRIDGE ROAD,Bukit Batok,3200
465,SOUTH BUONA VISTA ROAD,Bukit Batok,3618
466,STADIUM WALK,Bukit Batok,3180
467,STAMFORD ROAD,Bukit Batok,3282
468,TAI SENG STREET,Bukit Batok,3601
469,TAI THONG CRESCENT,Bukit Batok,3371
470,TAMPINES CENTRAL 1,Bukit Batok,4899
471,TAMPINES CENTRAL 5,Bukit Batok,4447
472,TAMPINES STREET 32,Bukit Batok,5290
473,TAN QUEE LAN STREET,Bukit Batok,2677
474,TANGLIN ROAD,Bukit Batok,2745
475,TANJONG KATONG ROAD,Bukit Batok,3907
476,TELOK AYER STREET,Bukit Batok,3208
477,TELOK KURAU ROAD,Bukit Batok,4648
478,TEMASEK BOULEVARD,Bukit Batok,2946
479,TESSENSOHN ROAD,Bukit Batok,3114
480,THOMSON ROAD,Bukit Batok,3326
481,TIONG BAHRU ROAD,Bukit Batok,2964
482,TRAS STREET,Bukit Batok,3053
483,UNITY STREET,Bukit Batok,3403
484,UPPER BUKIT TIMAH ROAD,Bukit Batok,1883
485,UPPER CIRCULAR ROAD,Bukit Batok,3222
486,UPPER CROSS STREET,Bukit Batok,3214
487,UPPER SERANGOON ROAD,Bukit Batok,3903
488,UPPER THOMSON ROAD,Bukit Batok,3680
489,VICTORIA STREET,Bukit Batok,2611
490,WEST COAST DRIVE,Bukit Batok,1966
491,WEST COAST ROAD,Bukit Batok,2247
492,WILKIE ROAD,Bukit Batok,3531
493,WOODLANDS AVENUE 1,Bukit Batok,2493
494,WOODLANDS ROAD,Bukit Batok,2279
495,WOODLANDS SQUARE,Bukit Batok,2041
496,YIO CHU KANG ROAD,Bukit Batok,4524
497,YISHUN AVENUE 2,Bukit Batok,2901
498,YISHUN AVENUE 9,Bukit Batok,3214
499,YISHUN CENTRAL 1,Bukit Batok,2925
500,YISHUN RING ROAD,Bukit Batok,3373
501,ALBERT STREET,Bukit Merah,1801
502,ALEXANDRA ROAD,Bukit Merah,1167
503,ANG MO KIO AVENUE 3,Bukit Merah,2871
504,ANSON ROAD,Bukit Merah,1813
505,BALESTIER ROAD,Bukit Merah,2005
506,BATTERY ROAD,Bukit Merah,1239
507,BAYFRONT AVENUE,Bukit Merah,1799
508,BEACH ROAD,Bukit Merah,1683
509,BEDOK NORTH STREET 1,Bukit Merah,2750
510,BEDOK ROAD,Bukit Merah,2993
511,BENCOOLEN STREET,Bukit Merah,1715
512,BIDADARI PARK DRIVE,Bukit Merah,2279
513,BRAS BASAH ROAD,Bukit Merah,1708
514,BROOKE ROAD,Bukit Merah,2909
515,BUKIT TIMAH ROAD,Bukit Merah,4677
516,CAVAN ROAD,Bukit Merah,1833
517,CECIL STREET,Bukit Merah,1946
518,CENTRAL BOULEVARD,Bukit Merah,1710
