,Street_name,Planning_area,Time_taken
324,WEST COAST ROAD,Bishan,3557
325,WILKIE ROAD,Bishan,3172
326,WOODLANDS AVENUE 1,Bishan,3159
327,WOODLANDS ROAD,Bishan,4135
328,WOODLANDS SQUARE,Bishan,2564
329,YIO CHU KANG ROAD,Bishan,2481
330,YISHUN AVENUE 2,Bishan,2400
331,YISHUN AVENUE 9,Bishan,3094
332,YISHUN CENTRAL 1,Bishan,2734
333,YISHUN RING ROAD,Bishan,3113
334,ALBERT STREET,Ang Mo Kio,2486
335,ALEXANDRA ROAD,Ang Mo Kio,2896
336,ANG MO KIO AVENUE 3,Ang Mo Kio,1264
337,ANSON ROAD,Ang Mo Kio,2511
338,BALESTIER ROAD,Ang Mo Kio,2131
339,BATTERY ROAD,Ang Mo Kio,2117
340,BAYFRONT AVENUE,Ang Mo Kio,2356
341,BEACH ROAD,Ang Mo Kio,2199
342,BEDOK NORTH STREET 1,Ang Mo Kio,3245
343,BEDOK ROAD,Ang Mo Kio,4046
344,BENCOOLEN STREET,Ang Mo Kio,2436
345,BIDADARI PARK DRIVE,Ang Mo Kio,2270
346,BRAS BASAH ROAD,Ang Mo Kio,2274
347,BROOKE ROAD,Ang Mo Kio,3062
348,BUKIT TIMAH ROAD,Ang Mo Kio,4503
349,CAVAN ROAD,Ang Mo Kio,2433
350,CECIL STREET,Ang Mo Kio,2524
351,CENTRAL BOULEVARD,Ang Mo Kio,2392
352,CHANGI BUSINESS PARK CENTRAL 1,Ang Mo Kio,4464
353,CHANGI ROAD,Ang Mo Kio,3179
354,CHIN SWEE ROAD,Ang Mo Kio,2701
355,CHOA CHU KANG AVENUE 4,Ang Mo Kio,3233
356,CHOA CHU KANG NORTH 6,Ang Mo Kio,2628
357,CLAYMORE DRIVE,Ang Mo Kio,2300
358,CLEMENCEAU AVENUE,Ang Mo Kio,2162
359,CLEMENTI AVENUE 3,Ang Mo Kio,3135
360,COLEMAN STREET,Ang Mo Kio,2124
361,COLLYER QUAY,Ang Mo Kio,2161
362,COMMONWEALTH AVENUE WEST,Ang Mo Kio,3065
363,COMPASSVALE BOW,Ang Mo Kio,2426
364,CROSS STREET,Ang Mo Kio,2365
365,CUSCADEN ROAD,Ang Mo Kio,2355
366,EAST COAST ROAD,Ang Mo Kio,3657
367,EASTWOOD ROAD,Ang Mo Kio,3996
368,ENG HOON STREET,Ang Mo Kio,2687
369,ENGGOR STREET,Ang Mo Kio,2872
370,EU TONG SEN STREET,Ang Mo Kio,2421
371,FOCH ROAD,Ang Mo Kio,2387
372,GEYLANG ROAD,Ang Mo Kio,2540
373,GOLDHILL PLAZA,Ang Mo Kio,1605
374,GOPENG STREET,Ang Mo Kio,2500
375,GUILLEMARD ROAD,Ang Mo Kio,2874
376,HANDY ROAD,Ang Mo Kio,1909
377,HAVELOCK ROAD,Ang Mo Kio,2809
378,HIGH STREET,Ang Mo Kio,2330
379,HOLLAND AVENUE,Ang Mo Kio,2450
380,HOUGANG AVENUE 10,Ang Mo Kio,2793
381,HOUGANG STREET 51,Ang Mo Kio,2334
382,HOUGANG STREET 91,Ang Mo Kio,1988
383,IRRAWADDY ROAD,Ang Mo Kio,1518
384,JALAN ANAK BUKIT,Ang Mo Kio,2813
385,JALAN BESAR,Ang Mo Kio,2645
386,JALAN JURONG KECHIL,Ang Mo Kio,2729
387,JALAN LEGUNDI,Ang Mo Kio,2273
388,JALAN MASJID,Ang Mo Kio,2724
389,JALAN SULTAN,Ang Mo Kio,2809
390,JELEBU ROAD,Ang Mo Kio,3413
391,JOO CHIAT ROAD,Ang Mo Kio,2917
392,JOO KOON CIRCLE,Ang Mo Kio,4851
393,JURONG EAST STREET 21,Ang Mo Kio,3648
394,JURONG GATEWAY ROAD,Ang Mo Kio,3368
395,JURONG WEST CENTRAL 2,Ang Mo Kio,3788
396,JURONG WEST CENTRAL 3,Ang Mo Kio,3894
397,KALLANG AVENUE,Ang Mo Kio,2679
398,KELANTAN LANE,Ang Mo Kio,2743
399,KEPPEL ROAD,Ang Mo Kio,2833
400,KITCHENER ROAD,Ang Mo Kio,2407
401,KOEK ROAD,Ang Mo Kio,1949
402,LAVENDER STREET,Ang Mo Kio,2273
403,LORONG 22 GEYLANG,Ang Mo Kio,3027
404,LORONG 4 TOA PAYOH,Ang Mo Kio,1657
405,LORONG KILAT,Ang Mo Kio,2819
406,LORONG LIPUT,Ang Mo Kio,2474
407,MACPHERSON ROAD,Ang Mo Kio,2120
408,MAJU AVENUE,Ang Mo Kio,1944
409,MARINA BOULEVARD,Ang Mo Kio,2958
410,MARINA VIEW,Ang Mo Kio,2398
411,MARINE PARADE ROAD,Ang Mo Kio,3483
412,MARITIME SQUARE,Ang Mo Kio,3079
413,MARKET STREET,Ang Mo Kio,3761
414,MARNE ROAD,Ang Mo Kio,2220
415,MERCHANT ROAD,Ang Mo Kio,2918
416,MIDDLE ROAD,Ang Mo Kio,2591
417,MOHAMED SULTAN ROAD,Ang Mo Kio,2816
418,MOUNTBATTEN ROAD,Ang Mo Kio,2720
419,NEW BRIDGE ROAD,Ang Mo Kio,2746
420,NEW UPPER CHANGI ROAD,Ang Mo Kio,3840
421,NORTH BRIDGE ROAD,Ang Mo Kio,2658
422,NORTH BUONA VISTA DRIVE,Ang Mo Kio,2461
423,NORTHPOINT DRIVE,Ang Mo Kio,1632
424,OCEAN WAY,Ang Mo Kio,5802
425,ORCHARD ROAD,Ang Mo Kio,2135
426,ORCHARD TURN,Ang Mo Kio,1780
427,OUTRAM ROAD,Ang Mo Kio,2386
428,PASIR PANJANG ROAD,Ang Mo Kio,3089
429,PASIR RIS CENTRAL,Ang Mo Kio,4613
430,PASIR RIS CLOSE,Ang Mo Kio,4556
431,PAYA LEBAR ROAD,Ang Mo Kio,1712
432,PENANG ROAD,Ang Mo Kio,2016
433,PETIR ROAD,Ang Mo Kio,3687
434,PUNGGOL CENTRAL,Ang Mo Kio,3399
435,QUEENSWAY,Ang Mo Kio,2761
436,RACE COURSE ROAD,Ang Mo Kio,2357
437,RAFFLES AVENUE,Ang Mo Kio,2745
438,RAFFLES BOULEVARD,Ang Mo Kio,2581
439,RAFFLES LINK,Ang Mo Kio,2268
440,RAFFLES PLACE,Ang Mo Kio,1937
441,RAFFLES QUAY,Ang Mo Kio,2257
442,RANGOON ROAD,Ang Mo Kio,2411
443,RIVER VALLEY ROAD,Ang Mo Kio,2407
444,RIVERVALE CRESCENT,Ang Mo Kio,3257
445,ROBERTSON QUAY,Ang Mo Kio,2859
446,ROBINSON ROAD,Ang Mo Kio,3105
447,ROCHOR CANAL ROAD,Ang Mo Kio,2398
448,ROCHOR ROAD,Ang Mo Kio,2386
449,SAM LEONG ROAD,Ang Mo Kio,2436
450,SCOTTS ROAD,Ang Mo Kio,1830
451,SELEGIE ROAD,Ang Mo Kio,2529
452,SEMBAWANG DRIVE,Ang Mo Kio,2204
453,SEMBAWANG ROAD,Ang Mo Kio,1789
454,SENGKANG SQUARE,Ang Mo Kio,2621
455,SENGKANG WEST AVENUE,Ang Mo Kio,1984
456,SERANGOON CENTRAL,Ang Mo Kio,1748
457,SERANGOON ROAD,Ang Mo Kio,2185
458,SHENTON WAY,Ang Mo Kio,2523
459,SIMS AVENUE,Ang Mo Kio,2735
460,SIMS DRIVE,Ang Mo Kio,2774
461,SIN MING ROAD,Ang Mo Kio,1485
462,SINARAN DRIVE,Ang Mo Kio,1505
463,SOMERSET ROAD,Ang Mo Kio,1734
464,SOUTH BRIDGE ROAD,Ang Mo Kio,2448
465,SOUTH BUONA VISTA ROAD,Ang Mo Kio,3180
466,STADIUM WALK,Ang Mo Kio,2507
467,STAMFORD ROAD,Ang Mo Kio,2189
468,TAI SENG STREET,Ang Mo Kio,1972
469,TAI THONG CRESCENT,Ang Mo Kio,2080
470,TAMPINES CENTRAL 1,Ang Mo Kio,3668
471,TAMPINES CENTRAL 5,Ang Mo Kio,3379
472,TAMPINES STREET 32,Ang Mo Kio,4547
473,TAN QUEE LAN STREET,Ang Mo Kio,2186
474,TANGLIN ROAD,Ang Mo Kio,2781
475,TANJONG KATONG ROAD,Ang Mo Kio,3173
476,TELOK AYER STREET,Ang Mo Kio,2751
477,TELOK KURAU ROAD,Ang Mo Kio,3161
478,TEMASEK BOULEVARD,Ang Mo Kio,2553
479,TESSENSOHN ROAD,Ang Mo Kio,2505
480,THOMSON ROAD,Ang Mo Kio,1811
481,TIONG BAHRU ROAD,Ang Mo Kio,2560
482,TRAS STREET,Ang Mo Kio,2612
483,UNITY STREET,Ang Mo Kio,2774
484,UPPER BUKIT TIMAH ROAD,Ang Mo Kio,3358
485,UPPER CIRCULAR ROAD,Ang Mo Kio,2533
486,UPPER CROSS STREET,Ang Mo Kio,2593
487,UPPER SERANGOON ROAD,Ang Mo Kio,2586
488,UPPER THOMSON ROAD,Ang Mo Kio,1447
489,VICTORIA STREET,Ang Mo Kio,2193
490,WEST COAST DRIVE,Ang Mo Kio,3592
491,WEST COAST ROAD,Ang Mo Kio,3676
492,WILKIE ROAD,Ang Mo Kio,2981
493,WOODLANDS AVENUE 1,Ang Mo Kio,2437
494,WOODLANDS ROAD,Ang Mo Kio,3902
495,WOODLANDS SQUARE,Ang Mo Kio,1986
